iter	Passed	Remaining
0	0	38
1	0	36
2	1	35
3	1	34
4	1	33
5	2	33
6	2	32
7	2	32
8	3	31
9	3	31
10	3	31
11	4	30
12	4	30
13	4	30
14	5	29
15	5	29
16	5	29
17	6	28
18	6	28
19	7	28
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	26
27	10	25
28	10	25
29	10	25
30	11	24
31	11	24
32	11	24
33	12	23
34	12	23
35	13	23
36	13	22
37	13	22
38	14	22
39	14	21
40	14	21
41	15	21
42	15	20
43	15	20
44	16	19
45	16	19
46	16	19
47	17	18
48	17	18
49	18	18
50	18	17
51	18	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	22	13
62	23	13
63	23	13
64	23	12
65	24	12
66	24	12
67	25	11
68	25	11
69	25	11
70	26	10
71	26	10
72	27	10
73	27	9
74	27	9
75	28	8
76	28	8
77	29	8
78	29	7
79	29	7
80	30	7
81	30	6
82	30	6
83	31	5
84	31	5
85	32	5
86	32	4
87	32	4
88	33	4
89	33	3
90	34	3
91	34	2
92	34	2
93	35	2
94	35	1
95	35	1
96	36	1
97	36	0
98	37	0
99	37	0
